DateTime,Open,High,Low,Close
2020-08-29 02:00:00,48451,48451,48450,48451
2020-08-29 03:00:00,48450,48498,48450,48498
2020-08-29 04:00:00,48497,48497,48497,48497
2020-08-29 05:00:00,48497,48497,48451,48451
2020-08-29 06:00:00,48452,48452,48452,48452
2020-08-29 07:00:00,48452,48699,48452,48698
2020-08-29 08:00:00,48599,48600,48461,48461
2020-08-29 09:00:00,48577,48599,48451,48597
2020-08-29 10:00:00,48597,48698,48451,48500
2020-08-29 11:00:00,48500,48549,48484,48484
2020-08-29 12:00:00,48486,48580,48486,48578
2020-08-29 13:00:00,48578,48578,48510,48511
2020-08-29 14:00:00,48511,48698,48260,48695
2020-08-29 15:00:00,48694,48698,48434,48697
2020-08-29 16:00:00,48698,48700,48608,48700
2020-08-29 17:00:00,48699,48700,48652,48676
2020-08-29 18:00:00,48699,48700,48510,48510
2020-08-29 19:00:00,48511,48511,48379,48476
2020-08-29 20:00:00,48449,48700,48300,48554
2020-08-29 21:00:00,48550,48682,48411,48577
2020-08-29 22:00:00,48490,48491,48326,48481
2020-08-29 23:00:00,48481,48700,48481,48675
2020-08-30 00:00:00,48677,48677,48473,48651
2020-08-30 01:00:00,48651,48651,48650,48650
2020-08-30 02:00:00,48650,48651,48650,48651
2020-08-30 03:00:00,48650,48651,48650,48651
2020-08-30 04:00:00,48651,48651,48651,48651
2020-08-30 05:00:00,48651,48700,48650,48700
2020-08-30 06:00:00,48651,48720,48651,48719
2020-08-30 07:00:00,48719,48720,48650,48650
2020-08-30 08:00:00,48651,49000,48502,48624
2020-08-30 09:00:00,48869,49120,48655,49120
2020-08-30 10:00:00,49120,49120,49119,49120
2020-08-30 11:00:00,49119,49119,49011,49098
2020-08-30 12:00:00,49069,49099,48805,49031
2020-08-30 13:00:00,49031,49031,48807,48960
2020-08-30 14:00:00,48960,49023,48806,48997
2020-08-30 15:00:00,48997,48997,48801,48956
2020-08-30 16:00:00,48956,49100,48822,48991
2020-08-30 17:00:00,48991,49100,48839,49100
2020-08-30 18:00:00,49100,49100,48940,48940
2020-08-30 19:00:00,48927,49100,48927,49100
2020-08-30 20:00:00,49064,49120,48928,48995
2020-08-30 21:00:00,49050,49119,49005,49051
2020-08-30 22:00:00,49051,49117,49004,49006
2020-08-30 23:00:00,49006,49199,49006,49199
2020-08-31 00:00:00,49199,49199,49005,49177
2020-08-31 01:00:00,49178,49178,49010,49051
2020-08-31 02:00:00,49052,49052,48583,48870
2020-08-31 03:00:00,48870,48871,48870,48871
2020-08-31 04:00:00,48870,48891,48600,48801
2020-08-31 05:00:00,49130,49130,48800,48800
2020-08-31 06:00:00,48800,48810,48800,48810
2020-08-31 07:00:00,49093,49094,48820,48820
2020-08-31 08:00:00,49081,49121,48707,49083
2020-08-31 09:00:00,49065,49065,48959,48998
2020-08-31 10:00:00,48999,48999,48761,48805
2020-08-31 11:00:00,48853,48976,48805,48970
2020-08-31 12:00:00,48963,49000,48804,48804
2020-08-31 13:00:00,48804,48804,48800,48801
2020-08-31 14:00:00,48800,48801,48800,48801
2020-08-31 15:00:00,48801,48801,48800,48800
2020-08-31 16:00:00,48800,48801,48800,48801
2020-08-31 17:00:00,48800,48801,48795,48795
2020-08-31 18:00:00,48796,48796,48690,48691
